Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
chakhana-masala-makhana,Masala Makhana Chips,"<p><strong>Makhana, but make it exciting.</strong> Chakhana's makhana chips are a better-for-you snack — seasoned properly and packed for people who snack every day without choosing between taste and health. No frills, no boring plain makhana — just chatpata crunch you'll actually look forward to.</p><p>Our OG flavour — a masaledar, chatpata blend of classic Indian spices on every crispy makhana bite.</p><p style='font-style:italic'>“Chatpate toh sab hai!!!”</p><ul><li>Available in 50g and 100g resealable pouches</li><li>Better-for-you, seasoned, ready to munch</li><li>No boring plain makhana here</li><li>Goes great with your food, and especially special with your drinks</li></ul>",Chakhana,Makhana Chips,"makhana,masala,bestseller",TRUE,Weight,50g,CHK-MK-MAS-50,50,shopify,25,deny,manual,99,109,TRUE,TRUE,g,1,Chakhana Masala Makhana chips pouch,FALSE,Masala Makhana Chips | Chakhana,"Masala Makhana Chips — a better-for-you snack, 50g & 100g. Chatpate toh sab hai!!! Order online, shipping pan-India.",draft
chakhana-masala-makhana,,,,,,,,100g,CHK-MK-MAS-100,100,shopify,25,deny,manual,169,179,TRUE,TRUE,g,,,,Masala Makhana Chips | Chakhana,"Masala Makhana Chips — a better-for-you snack, 50g & 100g. Chatpate toh sab hai!!! Order online, shipping pan-India.",
chakhana-peri-peri-makhana,Peri Peri Makhana Chips,"<p><strong>Makhana, but make it exciting.</strong> Chakhana's makhana chips are a better-for-you snack — seasoned properly and packed for people who snack every day without choosing between taste and health. No frills, no boring plain makhana — just chatpata crunch you'll actually look forward to.</p><p>For the ones who always ask for extra spicy — a fiery peri peri kick on every crunchy bite.</p><p style='font-style:italic'>“Bhaiya thoda aur teeekha!!!!”</p><ul><li>Available in 50g and 100g resealable pouches</li><li>Better-for-you, seasoned, ready to munch</li><li>No boring plain makhana here</li><li>Goes great with your food, and especially special with your drinks</li></ul>",Chakhana,Makhana Chips,"makhana,peri peri,spicy",TRUE,Weight,50g,CHK-MK-PP-50,50,shopify,25,deny,manual,99,109,TRUE,TRUE,g,1,Chakhana Peri Peri Makhana chips pouch,FALSE,Peri Peri Makhana Chips | Chakhana,"Peri Peri Makhana Chips — a better-for-you snack, 50g & 100g. Bhaiya thoda aur teeekha!!!! Order online, shipping pan-India.",draft
chakhana-peri-peri-makhana,,,,,,,,100g,CHK-MK-PP-100,100,shopify,25,deny,manual,169,179,TRUE,TRUE,g,,,,Peri Peri Makhana Chips | Chakhana,"Peri Peri Makhana Chips — a better-for-you snack, 50g & 100g. Bhaiya thoda aur teeekha!!!! Order online, shipping pan-India.",
chakhana-cream-onion-makhana,Cream & Onion Makhana Chips,"<p><strong>Makhana, but make it exciting.</strong> Chakhana's makhana chips are a better-for-you snack — seasoned properly and packed for people who snack every day without choosing between taste and health. No frills, no boring plain makhana — just chatpata crunch you'll actually look forward to.</p><p>Creamy, tangy, and impossible to put down — the classic cream &amp; onion crunch, makhana-style.</p><p style='font-style:italic'>“Kuchu Puchu Keliye!!!!”</p><ul><li>Available in 50g and 100g resealable pouches</li><li>Better-for-you, seasoned, ready to munch</li><li>No boring plain makhana here</li><li>Goes great with your food, and especially special with your drinks</li></ul>",Chakhana,Makhana Chips,"makhana,cream and onion",TRUE,Weight,50g,CHK-MK-CO-50,50,shopify,25,deny,manual,99,109,TRUE,TRUE,g,1,Chakhana Cream and Onion Makhana chips pouch,FALSE,Cream & Onion Makhana Chips | Chakhana,"Cream & Onion Makhana Chips — a better-for-you snack, 50g & 100g. Kuchu Puchu Keliye!!!! Order online, shipping pan-India.",draft
chakhana-cream-onion-makhana,,,,,,,,100g,CHK-MK-CO-100,100,shopify,25,deny,manual,169,179,TRUE,TRUE,g,,,,Cream & Onion Makhana Chips | Chakhana,"Cream & Onion Makhana Chips — a better-for-you snack, 50g & 100g. Kuchu Puchu Keliye!!!! Order online, shipping pan-India.",
chakhana-masala-ragi-chips,Masala Ragi Chips,"<p><strong>Reintroducing ragi, minus the boring.</strong> Chakhana's ragi chips take your everyday millet snack and give it the flavour it always deserved. Made with ragi (finger millet), seasoned generously, built for the 4pm crunch craving.</p><p>Our OG masaledar ragi chips — chatpata, crunchy, and dangerously snackable.</p><p style='font-style:italic'>“Chatpate toh sab hai!!!”</p><ul><li>Available in 50g and 100g resealable pouches</li><li>Made with ragi (finger millet), seasoned generously</li><li>Your millet snack, minus the boring</li><li>Goes great with your food, and especially special with your drinks</li></ul>",Chakhana,Ragi Chips,"ragi,masala,bestseller",TRUE,Weight,50g,CHK-RG-MAS-50,50,shopify,25,deny,manual,69,,TRUE,TRUE,g,1,Chakhana Masala Ragi Chips pouch,FALSE,Chakhana Masala Ragi Chips | Chakhana,"Chakhana Masala Ragi Chips — ragi (finger millet) chips, 50g & 100g. Chatpate toh sab hai!!! Order online, shipping pan-India.",draft
chakhana-masala-ragi-chips,,,,,,,,100g,CHK-RG-MAS-100,100,shopify,25,deny,manual,129,,TRUE,TRUE,g,,,,,,
chakhana-peri-peri-ragi-chips,Peri Peri Ragi Chips,"<p><strong>Reintroducing ragi, minus the boring.</strong> Chakhana's ragi chips take your everyday millet snack and give it the flavour it always deserved. Made with ragi (finger millet), seasoned generously, built for the 4pm crunch craving.</p><p>Ragi goodness with a fiery peri peri edge, for the spice-seekers.</p><p style='font-style:italic'>“Bhaiya thoda aur teeekha!!!!”</p><ul><li>Available in 50g and 100g resealable pouches</li><li>Made with ragi (finger millet), seasoned generously</li><li>Your millet snack, minus the boring</li><li>Goes great with your food, and especially special with your drinks</li></ul>",Chakhana,Ragi Chips,"ragi,peri peri,spicy",TRUE,Weight,50g,CHK-RG-PP-50,50,shopify,25,deny,manual,69,,TRUE,TRUE,g,1,Chakhana Peri Peri Ragi Chips pouch,FALSE,Chakhana Peri Peri Ragi Chips | Chakhana,"Chakhana Peri Peri Ragi Chips — ragi (finger millet) chips, 50g & 100g. Bhaiya thoda aur teeekha!!!! Order online, shipping pan-India.",draft
chakhana-peri-peri-ragi-chips,,,,,,,,100g,CHK-RG-PP-100,100,shopify,25,deny,manual,129,,TRUE,TRUE,g,,,,,,
